Observed Value of ChemAHNet,Predicted Value of ChemAHNet,Observed Value of ChemAHNet-No MoIM,Predicted Value of ChemAHNet-No MoIM,Observed Value of ChemAHNet-No RCIM,Predicted Value of ChemAHNet-No RCIM,Observed Value of ChemAHNet-No MIM,Predicted Value of ChemAHNet-No MIM
1.3600001,1.2604675,1.3600001,0.07492638,1.3600001,0.43952703,1.3600001,0.3106022
-3.13,-3.2776787,-3.13,-2.7338128,-3.13,-2.847396,-3.13,-1.2181456
-1.1500001,-0.82835174,-1.1500001,-0.91735005,-1.1500001,-0.9128604,-1.1500001,-1.077452
4.05,2.4204798,4.05,1.1487441,4.05,-0.2802453,4.05,0.39952278
-2.0600002,-1.0787671,-2.0600002,-1.4068923,-2.0600002,-0.6083803,-2.0600002,0.27407265
-1.3,-0.9555681,-1.3,-1.0535688,-1.3,-1.3648317,-1.3,0.036355972
-2.0600002,-3.0464234,-2.0600002,-2.3611145,-2.0600002,-2.9525056,-2.0600002,-0.28320885
-1.74,-1.0213826,-1.74,-1.4731758,-1.74,-1.5728819,-1.74,-1.141928
-1.5,-1.8133898,-1.5,-2.127805,-1.5,-1.6977913,-1.5,-1.3823912
-3.08,-2.3209262,-3.08,-1.7736928,-3.08,-1.3373234,-3.08,0.32728767
-2.31,-2.7956371,-2.31,-3.0624993,-2.31,-2.6401577,-2.31,-1.0385191
-1.1500001,-0.2459259,-1.1500001,-0.66164374,-1.1500001,0.25492287,-1.1500001,0.8213978
-0.9200001,-1.4811211,-0.9200001,-0.68711257,-0.9200001,-0.6927998,-0.9200001,-0.38023186
1.2400002,0.8494148,1.2400002,1.1608973,1.2400002,0.3122697,1.2400002,1.8784885
-2.3,-2.4875252,-2.3,-1.4661741,-2.3,-2.474739,-2.3,-1.2679961
-1.3299999,-0.4417181,-1.3299999,-0.953974,-1.3299999,-0.5899911,-1.3299999,0.2776432
2.56,1.8391232,2.56,2.1397662,2.56,2.3833609,2.56,1.5662022
-1.6299999,-1.3468764,-1.6299999,-1.372035,-1.6299999,-1.5995209,-1.6299999,-1.347647
0.8800001,0.87528896,0.8800001,0.9860616,0.8800001,1.1022811,0.8800001,0.7684574
0.05000019,0.10805416,0.05000019,-0.22178364,0.05000019,-0.08862543,0.05000019,-0.040136337
0.94000006,1.2686424,0.94000006,-0.1833973,0.94000006,1.2426853,0.94000006,-0.7339232
2.06,2.0778227,2.06,1.7883158,2.06,0.55520344,2.06,1.0415363
1.3699999,1.4652629,1.3699999,0.32481766,1.3699999,1.2505722,1.3699999,0.013422012
-4.5,-1.6361954,-4.5,-1.3438196,-4.5,-0.005012989,-4.5,0.109277725
-3.13,-3.33392,-3.13,-2.2892337,-3.13,-2.5973067,-3.13,0.41414833
-2.1699998,-1.803479,-2.1699998,-1.7031763,-2.1699998,-2.0460389,-2.1699998,-2.0477507
-2.1699998,-0.71217155,-2.1699998,-0.19584513,-2.1699998,-1.0364537,-2.1699998,0.1480732
-1.53,2.959083,-1.53,3.6069002,-1.53,2.5877557,-1.53,1.1557255
0,-0.57025814,0,0.35955906,0,-0.25597858,0,-0.44553185
2.48,1.8419752,2.48,1.4603014,2.48,2.172442,2.48,0.6892185
1.7399998,1.7330551,1.7399998,-0.009725571,1.7399998,2.1103654,1.7399998,1.462244
0.47000027,0.518847,0.47000027,0.4303627,0.47000027,0.5008292,0.47000027,0.14841652
0.3699999,1.8825016,0.3699999,2.0534105,0.3699999,1.5687289,0.3699999,0.73721504
-0.01999998,-0.37699032,-0.01999998,-1.0110817,-0.01999998,0.3255415,-0.01999998,-0.5361006
2.7200003,2.4585137,2.7200003,2.803124,2.7200003,2.1172905,2.7200003,0.8244877
0.119999886,-0.2563219,0.119999886,0.27714586,0.119999886,-1.03209,0.119999886,0.6786442
-2.15,-2.325385,-2.15,-1.7631905,-2.15,-1.0314326,-2.15,-0.008962631
-2.72,-2.5090625,-2.72,-2.4477804,-2.72,-3.0572412,-2.72,0.8093815
2.9,2.6860976,2.9,3.1281257,2.9,2.9764605,2.9,0.24990273
3.13,0.839416,3.13,1.8606682,3.13,2.0236688,3.13,0.51872444
1.3299999,1.041956,1.3299999,0.30155087,1.3299999,-1.0735152,1.3299999,0.5079441
2.06,1.4255152,2.06,1.9985251,2.06,1.9295931,2.06,0.38201332
-2.33,-2.2430048,-2.33,-1.5564551,-2.33,-2.3890202,-2.33,-1.3372099
-1.81,0.45905733,-1.81,2.0508046,-1.81,2.3468528,-1.81,0.6830387
2.7200003,4.205332,2.7200003,4.1528673,2.7200003,3.3039107,2.7200003,0.7131138
0.23999977,1.5863843,0.23999977,0.98558855,0.23999977,1.2469015,0.23999977,1.4174747
-0.1500001,-1.3099728,-0.1500001,-2.0363798,-0.1500001,0.04324007,-0.1500001,-0.05709648
0.4500003,0.27058983,0.4500003,0.3064227,0.4500003,0.18377304,0.4500003,0.05365944
-2.0600002,-1.1962433,-2.0600002,-1.6953185,-2.0600002,-2.2695053,-2.0600002,0.46969795
0,0.14382553,0,-0.10614014,0,-0.23827648,0,0.22339821
1.8800001,1.4094019,1.8800001,1.1204066,1.8800001,-1.6491313,1.8800001,0.30524635
0.7199998,1.0253372,0.7199998,1.6019125,0.7199998,1.234364,0.7199998,0.09513283
-2.72,-2.3583975,-2.72,-2.591621,-2.72,-2.5562067,-2.72,-1.6544402
0,-0.5451498,0,-0.35788345,0,-1.3222518,0,-0.16428185
-1.19,-2.506535,-1.19,-1.330498,-1.19,-1.7096341,-1.19,0.48487282
1.4899998,0.018753052,1.4899998,0.47295666,1.4899998,0.25147724,1.4899998,-0.5165999
1.3299999,-1.3696513,1.3299999,-0.7093077,1.3299999,-0.13440943,1.3299999,-0.33621788
0.46000004,0.32876396,0.46000004,-0.7234676,0.46000004,0.3574934,0.46000004,0.74511147
0.7000003,0.49969006,0.7000003,-0.08208561,0.7000003,-0.57996726,0.7000003,-0.98969865
-1.24,-1.3046703,-1.24,-0.96468925,-1.24,-1.5364704,-1.24,0.07013893
-0.9200001,-0.91636324,-0.9200001,-1.1650021,-0.9200001,-1.8476799,-0.9200001,-0.6697905
-2.48,-1.6373594,-2.48,-1.938679,-2.48,-1.2900441,-2.48,-0.57228684
-3.1999998,-2.664878,-3.1999998,-2.293522,-3.1999998,-0.7140565,-3.1999998,-0.72897935
-2.48,-2.3854315,-2.48,-2.4589083,-2.48,-2.3033524,-2.48,-3.343588
-3.1999998,-2.7515168,-3.1999998,-2.9643807,-3.1999998,-2.3530865,-3.1999998,-0.503073
0.73,0.73675776,0.73,1.2485776,0.73,1.0271878,0.73,0.93208504
1.6799998,0.96710634,1.6799998,0.7887144,1.6799998,0.78295755,1.6799998,0.4432621
-2.72,-2.6622236,-2.72,-2.362227,-2.72,-2.533265,-2.72,0.608881
0.17000008,-1.5082259,0.17000008,-0.9873102,0.17000008,0.3758211,0.17000008,0.32282448
1.3699999,2.0409575,1.3699999,1.6486688,1.3699999,1.8182502,1.3699999,0.007928848
1.1999998,1.4587975,1.1999998,1.6409197,1.1999998,0.45247698,1.1999998,0.32701302
-3.13,1.7204351,-3.13,2.3078103,-3.13,0.7114172,-3.13,0.80539894
-0.9599998,-1.1036897,-0.9599998,-1.355561,-0.9599998,-0.77904487,-0.9599998,-0.20767784
-1.1800001,-0.43912268,-1.1800001,-0.1899538,-1.1800001,-0.78972435,-1.1800001,-0.55985856
-2.72,-2.538475,-2.72,-2.38631,-2.72,-2.333159,-2.72,-1.0599425
-1.78,-0.80536366,-1.78,-0.5819671,-1.78,-0.38031387,-1.78,-1.6784728
