entry,Catalyst,reactant1,reactant2,ee,T,reaction,T_K,Output
53,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCC(C)C,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.69,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCC(C)C.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,1.0047897799382846
54,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCCC,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.69,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCCC.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,1.0047897799382846
55,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCCC,OC1C2=C(C=CC=C2)SC3=CC=CC=C31,0.77,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCCC.OC1C2=C(C=CC=C2)SC3=CC=CC=C31,298.15,1.209042921685095
56,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCCC1=CC=CC=C1,CC1=C(C(O)C2=CC=CC=C2)C3=CC=CC=C3C1,0.9,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCCC1=CC=CC=C1.CC1=C(C(O)C2=CC=CC=C2)C3=CC=CC=C3C1,298.15,1.7445144842223432
57,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCCC1=CC=CC=C1,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.77,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCCC1=CC=CC=C1.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,1.209042921685095
58,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCCCC=C,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.6,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCCCC=C.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,0.8213485181662863
59,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCCCCCCC,OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,0.8,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCCCCCCC.OC(C1=CC=C(N(C)C)C=C1)C2=CC=C(N(C)C)C=C2,298.15,1.301806601316453
60,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O,O=CCCCCCCC,OC1C2=C(C=CC=C2)OC3=CC=CC=C31,0.78,25,O=C1N(C)[C@@H](C(C)(C)C)N[C@H]1CC2=CC=CC=C2.OC(C(F)(F)F)=O.O=CCCCCCCC.OC1C2=C(C=CC=C2)OC3=CC=CC=C31,298.15,1.2387175119493954
61,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,CCCCCCCCCC=O,FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,0.5,4,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.CCCCCCCCCC=O.FN(S(=O)(C1=CC=CC=C1)=O)S(=O)(C2=CC=CC=C2)=O,277.15,0.605057352934521
62,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3,O=CCCC1=CC=CC=C1,C=CC(C)=O,0,25,OC(C1=CC=CC=C1)(C2=CC=CC=C2)[C@H]3NCCC3.O=CCCC1=CC=CC=C1.C=CC(C)=O,298.15,0
